"Date","WaterTemp","Salinity","Location"
2021-10-11 06:18:00,16.18,32.01,"FortPoint"
2021-10-11 06:24:00,16.19,32.02,"FortPoint"
2021-10-11 06:30:00,16.2,32.02,"FortPoint"
2021-10-11 06:36:00,16.21,32.02,"FortPoint"
2021-10-11 06:42:00,16.2,32.04,"FortPoint"
2021-10-11 06:48:00,16.2,32.06,"FortPoint"
2021-10-11 06:54:00,16.21,32.06,"FortPoint"
2021-10-11 07:00:00,16.22,32.06,"FortPoint"
2021-10-11 07:06:00,16.22,32.06,"FortPoint"
2021-10-11 07:12:00,16.24,32.06,"FortPoint"
2021-10-11 07:18:00,16.24,32.06,"FortPoint"
2021-10-11 07:24:00,16.28,32.04,"FortPoint"
2021-10-11 07:30:00,16.26,32.04,"FortPoint"
2021-10-11 07:36:00,16.25,32.05,"FortPoint"
2021-10-11 07:42:00,16.26,32.05,"FortPoint"
2021-10-11 07:48:00,16.27,32.04,"FortPoint"
2021-10-11 07:54:00,16.31,32.04,"FortPoint"
2021-10-11 08:00:00,16.32,32.04,"FortPoint"
2021-10-11 08:06:00,16.32,32.04,"FortPoint"
2021-10-11 08:12:00,16.33,32.04,"FortPoint"
2021-10-11 08:18:00,16.33,32.04,"FortPoint"
2021-10-11 08:24:00,16.35,32.04,"FortPoint"
2021-10-11 08:30:00,16.35,32.04,"FortPoint"
2021-10-11 08:36:00,16.36,32.03,"FortPoint"
2021-10-11 08:42:00,16.38,32.04,"FortPoint"
2021-10-11 08:48:00,16.39,32.04,"FortPoint"
2021-10-11 08:54:00,16.39,32.04,"FortPoint"
2021-10-11 09:00:00,16.36,32.03,"FortPoint"
2021-10-11 09:06:00,16.35,32.04,"FortPoint"
2021-10-11 09:12:00,16.35,32.04,"FortPoint"
2021-10-11 09:18:00,16.36,32.03,"FortPoint"
2021-10-11 09:24:00,16.33,32.04,"FortPoint"
2021-10-11 09:30:00,16.28,32.05,"FortPoint"
2021-10-11 09:36:00,16.26,32.05,"FortPoint"
2021-10-11 09:42:00,16.23,32.06,"FortPoint"
2021-10-11 09:48:00,16.21,32.06,"FortPoint"
2021-10-11 09:54:00,16.18,32.07,"FortPoint"
2021-10-11 10:00:00,16.13,32.08,"FortPoint"
2021-10-11 10:06:00,16.12,32.09,"FortPoint"
2021-10-11 10:12:00,16.11,32.09,"FortPoint"
2021-10-11 10:18:00,16.1,32.09,"FortPoint"
2021-10-11 10:24:00,16.1,32.1,"FortPoint"
2021-10-11 10:30:00,16.09,32.1,"FortPoint"
2021-10-11 10:36:00,16.09,32.1,"FortPoint"
2021-10-11 10:42:00,16.1,32.1,"FortPoint"
2021-10-11 10:48:00,16.1,32.1,"FortPoint"
2021-10-11 10:54:00,16.11,32.1,"FortPoint"
2021-10-11 11:00:00,16.1,32.09,"FortPoint"
2021-10-11 11:06:00,16.1,32.09,"FortPoint"
2021-10-11 11:12:00,16.09,32.09,"FortPoint"
2021-10-11 11:18:00,16.1,32.09,"FortPoint"
2021-10-11 11:24:00,16.11,32.09,"FortPoint"
